HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
합계 : 기획실수탁고분류	열 레이블						합계 : 순자산(후)	열 레이블											행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00										
펀드	109073.78338680998	137583.29975863	127096.37801454998	125943.56607088	127532.77771002999	126722.94928955	35000.0	0.37307234492714236	-10050.522048600003	436.39969548000954	1589.2116391499876								한국투자신종개인용MMF5호(모)	2263.58243025	2558.05138554	294.46895528999994		한국투자뉴에이스일반사모증권투자신탁7호(채권)(모)	1049.2542192	1048.50536919	-0.7488500100000692		연기금일반사모달러MMF제1호(USD)		92.99685744	92.99685744									
일임	82100.58154138	84706.97929907999	83810.27599898001	84729.94199474	84230.38743547	108753.86396180002			-476.5918636099959	420.11143648998404	-499.5545592700073								무배당KB퇴직연금실적배당보험 채권형(모)	12.71206234	7.87000037	-4.84206197		한국투자뉴에이스일반사모증권투자신탁6호(채권)(모)	1040.0		-1040.0		한국투자ACE미국나스닥100채권혼합액티브ETF(채권혼합)	5083.96959149	9391.79461009	4307.8250186000005									
MMF	36396.893546249994	63861.22230592001	92247.16798863	78067.30399612	87445.86829058	89643.78722226			23584.645984659983	-4801.299698050003	9378.564294459997								삼성화재퇴직연금MMF재간접형(모)	43.78807502	40.0349436	-3.7531314200000025		한국투자뉴에이스일반사모증권투자신탁10호(채권)(모)		1050.0	1050.0		한국투자ACE미국S&P500채권혼합액티브증권ETF(채권혼합)	7318.50441649	12341.61831752	5023.11390103									
ETF	41744.482281950004	63789.40781017	76586.52992008	72957.25515249	70494.44113215001	91132.01107564999	33000.0	0.20318282793878814	6705.033321980009	-6092.088787929984	-2462.814020339996								프로미퇴직연금실적배당채권형2호(모)	4.71473833	3.42155158	-1.2931867500000003		한국투자금리연계전문투자형사모증권투자신탁17호(채권)	681.54260051	681.54260051	0.0		한국투자ACE미국달러단기채권액티브증권상장지수투자신탁(채	414.40667976	448.58237746	34.1756977									
																			무배당KB퇴직연금실적배당보험 배당주안정형1호(모)	27.72095277	27.18095777	-0.5399950000000011		한국투자WF전문투자형사모증권투자신탁1호(채권)	4489.60820422	4397.28050673	-92.32769748999999		한국투자JPMorgan글로벌하이일드		736.14611906	736.14611906									
																			한국투자e단기채증권투자신탁(채권)(모)	1964.05613704	1281.89116685	-682.1649701900001		한국투자WF단기일반사모증권투자신탁6호(채권)	1587.39715094		-1587.39715094		한국투자베이직일반사모증권투자신탁138호(채권-재간접형)		199.49318974	199.49318974									
																			한국투자매칭형일반사모증권투자신탁CW-2호(채권-파생형)	1023.6289821		-1023.6289821		한국투자RF전문투자형사모증권투자신탁제1호(국공채)		1781.30132158	1781.30132158		투자풀일반사모달러MMF2호(USD)		105.11596339	105.11596339									
4. 유형별 증감																			한국투자옐로우엄브렐라국내채권일반사모증권투자신탁1호(채권)	1220.58483386		-1220.58483386		한국투자MF전문투자형사모증권투자신탁3호(채권)	4596.7196875	6299.31070724	1702.5910197399999		IBK연금보험 미국하이일드채권형		228.79694727	228.79694727									
종류형구분	(다중 항목)																		한국투자채권SJ제1호	100.0		-100.0		한국투자ACE우량회사채(AA-이상)액티브증권상장지수투자신탁(채권)	1260.44188904	1488.22385339	227.78196434999995		한국투자베이직일반사모증권투자신탁134호(USD)(채권)		1076.453	1076.453									
모자구분	(다중 항목)																		한국투자채권SJ제2호	100.0		-100.0		한국채권크레딧3호	24984.48982289	24484.80002644	-499.68979644999854														
제외조건																			연기금일반사모증권투자신탁223-2호(채권)	544.44992035		-544.44992035		한국사모채권6호(회사)	8018.65601082	8018.65601082	0.0														
운용부서	(다중 항목)																		연기금일반사모증권투자신탁57호(채권)	121.90836918		-121.90836918		한국EverRich보험채권1호(사회책임형)	500.0	500.0	0.0														
																			ABL생명변액종신혼합1형(채권)	301.38315499	301.38315499	0.0		푸본현대생명원화크레딧채권형 RPA B	764.3872229		-764.3872229														
합계 : 기획실수탁고분류	열 레이블																		한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권)	671.17450934	743.75959551	72.58508617000007		푸르덴셜변액유니버셜종신보험 배당혼합형(채권형)	1170.20849768	1269.56064697	99.35214929000017														
	FI운용1부		FI운용1부 요약	FI운용2부		FI운용2부 요약	해외FI운용부		해외FI운용부 요약										한국투자ACEKIS종합채권(AA-이상)액티브증권상장지수투자신탁	8107.13524666	10708.88488495	2601.749638289999		푸르덴셜변액연금보험안정혼합형1(채권형)	472.19944113	595.61789383	123.41845269999993														
행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00											한국투자초단기내일드림증권투자신탁(채권)(모)	326.79701712	353.5348709	26.737853779999966		푸르덴셜변액 VUL안정혼합형_채권	845.393327	1021.9724344	176.5791074														
채권	32081.579464470004	30013.29006546999	62094.86952994	132883.46019227	117490.69852903999	250374.15872130997	2706.9690777399996	4363.494719709999	7070.463797449998										한국투자베이직일반사모증권투자신탁128호(채권)	1000.0	1000.0	0.0		푸르덴셜변액 VA혼합형_채권	365.58324368	470.81775658	105.23451289999997														
채권파생	1023.6289821	403.93309513	1427.56207723	2381.5597615	2381.5597615	4763.119523	1935.94286364	2103.0383558500002	4038.9812194900005										한국투자신종법인용MMF15호(모)	69.64873867	66.78529637	-2.8634423000000027		푸르덴셜변액 SVUL&NVA단기안정채권형	47.57891586	67.10168919	19.52277333														
채권혼합	43.28463455	40.25818817	83.54282272																한국투자베이직일반사모증권투자신탁129호(USD)(채권)	585.28		-585.28		투자풀일반사모증권투자신탁제6호(채권)	2349.48186306	2470.3731184	120.89125534000004														
변액보험	1969.8490434599998	1892.5400179599997	3862.3890614199995	27216.97519628	29563.54338461	56780.51858089	110.35224737000001	257.60813986	367.96038723000004										한국투자신종법인용MMF3호(국공채)(모)	965.40297793	365.49004533	-599.9129326		투자풀일반사모증권투자신탁제6-2호(채권)		688.32218028	688.32218028														
재간접	182.30754005	197.31339873	379.62093877999996				19476.00813241	21124.452889329998	40600.46102174										한국투자ACEFTSEWGBIKorea증권상장지수투자신탁(채권)	191.3582423		-191.3582423		투자풀일반사모증권투자신탁제6-1호(채권)	2495.98842305	3132.32360094	636.3351778899996														
