HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
																			무배당KB퇴직연금실적배당보험 배당주안정형1호(모)	27.72095277	27.18095777	=IF(T50="","",(V50-U50))		한국투자WF전문투자형사모증권투자신탁1호(채권)	4489.60820422	4397.28050673	=IF(Y50="","",(AA50-Z50))		한국투자JPMorgan글로벌하이일드		736.14611906	=IF(AD50="","",(AF50-AE50))									
																			한국투자e단기채증권투자신탁(채권)(모)	1964.05613704	1281.89116685	=IF(T51="","",(V51-U51))		한국투자WF단기일반사모증권투자신탁6호(채권)	1587.39715094		=IF(Y51="","",(AA51-Z51))		한국투자베이직일반사모증권투자신탁138호(채권-재간접형)		199.49318974	=IF(AD51="","",(AF51-AE51))									
																			한국투자매칭형일반사모증권투자신탁CW-2호(채권-파생형)	1023.6289821		=IF(T52="","",(V52-U52))		한국투자RF전문투자형사모증권투자신탁제1호(국공채)		1781.30132158	=IF(Y52="","",(AA52-Z52))		투자풀일반사모달러MMF2호(USD)		105.11596339	=IF(AD52="","",(AF52-AE52))									
4. 유형별 증감																			한국투자옐로우엄브렐라국내채권일반사모증권투자신탁1호(채권)	1220.58483386		=IF(T53="","",(V53-U53))		한국투자MF전문투자형사모증권투자신탁3호(채권)	4596.7196875	6299.31070724	=IF(Y53="","",(AA53-Z53))		IBK연금보험 미국하이일드채권형		228.79694727	=IF(AD53="","",(AF53-AE53))									
종류형구분	(다중 항목)																		한국투자채권SJ제1호	100		=IF(T54="","",(V54-U54))		한국투자ACE우량회사채(AA-이상)액티브증권상장지수투자신탁(채권)	1260.44188904	1488.22385339	=IF(Y54="","",(AA54-Z54))		한국투자베이직일반사모증권투자신탁134호(USD)(채권)		1076.453	=IF(AD54="","",(AF54-AE54))									
모자구분	(다중 항목)																		한국투자채권SJ제2호	100		=IF(T55="","",(V55-U55))		한국채권크레딧3호	24984.48982289	24484.80002644	=IF(Y55="","",(AA55-Z55))					=IF(AD55="","",(AF55-AE55))									
제외조건																			연기금일반사모증권투자신탁223-2호(채권)	544.44992035		=IF(T56="","",(V56-U56))		한국사모채권6호(회사)	8018.65601082	8018.65601082	=IF(Y56="","",(AA56-Z56))					=IF(AD56="","",(AF56-AE56))									
운용부서	(다중 항목)																		연기금일반사모증권투자신탁57호(채권)	121.90836918		=IF(T57="","",(V57-U57))		한국EverRich보험채권1호(사회책임형)	500	500	=IF(Y57="","",(AA57-Z57))					=IF(AD57="","",(AF57-AE57))									
																			ABL생명변액종신혼합1형(채권)	301.38315499	301.38315499	=IF(T58="","",(V58-U58))		푸본현대생명원화크레딧채권형 RPA B	764.3872229		=IF(Y58="","",(AA58-Z58))					=IF(AD58="","",(AF58-AE58))									
합계 : 기획실수탁고분류	열 레이블																		한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권)	671.17450934	743.75959551	=IF(T59="","",(V59-U59))		푸르덴셜변액유니버셜종신보험 배당혼합형(채권형)	1170.20849768	1269.56064697	=IF(Y59="","",(AA59-Z59))					=IF(AD59="","",(AF59-AE59))									
